GROUPE (HP2);NOM GROUPE;BATIMENTS (HP3);Adresse;Code postal;Ville;Date de construction;Date de mise en service;Nb d'escaliers (HP4);Nb de lots;Nb de logements;Nb d'ateliers;Nb de parkings;Nb de commerces;Surface utile SUT;Surface habitable SHAB;Surface réelle SRE;Surface réelle commerces;Surface chauffée SCH
117BE;BESSIERES-GARNIER-PONT A;B2;18 rue  Louis Loucheur;75017;PARIS;01/04/1933;01/01/1933;2;48;42;0;0;0;0;2 123;2 123;2 156;0
117BE;BESSIERES-GARNIER-PONT A;D2;24 boulevard  Bessières;75017;PARIS;01/04/1933;01/01/1933;13;87;76;0;0;9;0;4 232;4 232;5 140;4 286
117BE;BESSIERES-GARNIER-PONT A;E1;4 rue de Pont-à-Mousson;75017;PARIS;01/04/1933;01/01/1933;3;50;47;0;0;0;0;2 325;2 325;2 339;0
117BE;BESSIERES-GARNIER-PONT A;F1;6 rue  Fernand Pelloutier;75017;PARIS;01/04/1933;01/01/1933;5;57;53;0;0;0;0;2 588;2 588;2 603;0
117BE;BESSIERES-GARNIER-PONT A;E2;7 rue  Frédéric Brunet;75017;PARIS;01/04/1933;01/01/1933;6;73;70;0;0;2;0;3 189;3 189;3 381;61
117BE;BESSIERES-GARNIER-PONT A;F2;13 rue  Louis Loucheur;75017;PARIS;01/04/1933;01/01/1933;7;57;53;0;0;4;0;2 586;2 586;2 920;61
117BE;BESSIERES-GARNIER-PONT A;JAR1;4 rue  Fernand Pelloutier;75017;PARIS;01/04/1933;01/04/2009;0;1;0;0;0;0;0;0;0;1 219;0
117BI;BIOT 13;01;13 rue  Biot;75017;PARIS;;01/11/2007;1;0;0;0;0;0;0;0;0;0;0
117BN;BAYEN62;01;62 rue  Bayen;75017;PARIS;01/01/1910;01/07/2008;2;12;11;0;0;1;452;436;436;658;43
117BS;BESSIERES 17;01;17 boulevard  Bessières;75017;PARIS;01/01/1930;01/07/1986;3;60;59;0;0;1;0;1 990;1 990;2 102;0
117C6;CLICHY 67;01;67 avenue de Clichy;75017;PARIS;;18/04/1985;3;12;10;0;0;2;0;341;341;442;0
117C6;CLICHY 67;PAV1;67 avenue de Clichy;75017;PARIS;05/01/2015;18/04/1985;1;1;1;0;0;0;0;41;41;41;0
