GROUPE (HP2);NOM GROUPE;BATIMENTS (HP3);Adresse;Code postal;Ville;Date de construction;Date de mise en service;Nb d'escaliers (HP4);Nb de lots;Nb de logements;Nb d'ateliers;Nb de parkings;Nb de commerces;Surface utile SUT;Surface habitable SHAB;Surface réelle SRE;Surface réelle commerces;Surface chauffée SCH
115Q5;QUINTINIE 13/15;PKA1;13/15 rue  La Quintinie;75015;PARIS;01/09/1989;01/01/1940;1;0;0;0;0;0;0;0;0;0;0
115Q5;QUINTINIE 13/15;D;15 rue  La Quintinie;75015;PARIS;01/09/1989;01/01/1940;2;21;20;0;0;1;0;1 133;1 133;1 334;0
115QU;QUINTINIE 31;01;31 rue  La Quintinie;75015;PARIS;01/02/1983;01/02/1983;4;18;16;0;0;2;0;907;907;1 102;1 057
115RK;ROBERT KELLER;02;18 B rue de l' Ingénieur Robert Keller;75015;PARIS;15/06/2021;15/06/2021;1;8;8;0;0;0;567;529;529;620;567
115RK;ROBERT KELLER;01;16 B rue de l' Ingénieur Robert Keller;75015;PARIS;15/06/2021;15/06/2021;1;9;9;0;0;0;623;570;570;699;623
115RK;ROBERTKELLER;AC01;;;;15/06/2021;01/02/2024;0;0;0;0;0;0;0;0;0;0;0
115SC;SAINT CHARLES 101;02;101BIS rue  Saint Charles;75015;PARIS;01/03/1990;01/01/1920;2;36;36;0;0;0;0;2 643;2 643;2 739;0
115SC;SAINT CHARLES 101;01;101 rue  Saint Charles;75015;PARIS;01/03/1990;01/01/1920;3;23;19;0;0;1;0;1 184;1 184;1 393;2
115SC;SAINT CHARLES 101;PKC1;101TER rue  Saint Charles;75015;PARIS;01/03/1990;01/01/1920;0;57;0;0;57;0;0;0;0;697;0
115SF;SANTOS DUMONT-FRANQUET;PKC1;2BIS rue  Franquet;75015;PARIS;01/04/1989;15/04/1989;0;21;0;0;21;0;0;0;0;238;0
115SF;SANTOS DUMONT-FRANQUET;CRE1;29BIS/31 rue  Santos-Dumont;75015;PARIS;01/04/1989;01/01/1920;0;0;0;0;0;0;0;0;0;0;0
115SF;SANTOS DUMONT-FRANQUET;FOY1;29 rue  Santos-Dumont;75015;PARIS;01/04/1989;01/01/1920;0;0;0;0;0;0;0;0;0;0;0
115SF;SANTOS DUMONT-FRANQUET;01;4 rue  Franquet;75015;PARIS;01/04/1989;01/01/1920;1;17;17;0;0;0;0;1 006;1 006;1 009;0
115SM;MERCIER45;PKC1;45 rue  Sébastien Mercier;75015;PARIS;01/01/1920;15/04/2004;0;0;0;0;0;0;0;0;0;0;0
115SM;MERCIER45;01;45 rue  Sébastien Mercier;75015;PARIS;01/01/1920;15/04/2004;3;15;13;0;0;2;661;626;626;904;0
115VA;VAUGIRARD 226;01;226 rue de Vaugirard;75015;PARIS;01/01/2009;01/12/2008;3;7;4;0;0;2;193;157;157;513;0
115VA;VAUGIRARD 226;02;226 rue de Vaugirard;75015;PARIS;01/01/2009;04/12/2001;7;35;35;0;0;0;1 857;1 722;1 722;1 935;0
115VB;VOUILLE-BRANCION-NANTEUI;PKC1;2 rue  Nanteuil;75015;PARIS;01/04/1962;01/01/1940;0;0;0;0;0;0;0;0;0;0;0
115VB;VOUILLE-BRANCION-NANTEUI;A;25 rue de Vouillé;75015;PARIS;01/04/1962;01/01/1940;6;114;108;0;0;2;0;6 678;6 678;6 917;6 808
115VG;VAUGIRARD 383-385;02;385 rue de Vaugirard;75015;PARIS;20/12/2013;01/09/2006;0;0;0;0;0;0;0;0;0;0;0
115VG;VAUGIRARD 383-385;01;383 rue de Vaugirard;75015;PARIS;20/12/2013;01/09/2006;4;9;7;0;0;2;445;445;445;566;0
115VI;VIALA 38;AC01;38 rue  Viala;75015;PARIS;01/01/1970;20/01/2017;0;1;0;0;0;1;0;0;0;69;0
115VI;VIALA 38;01;38 rue  Viala;75015;PARIS;01/01/1970;20/01/2017;2;13;12;0;0;1;589;570;570;677;539
116BL;BOUDON 12 LA FONTAINE 55;PKC1;55 rue  Jean de La Fontaine;75016;PARIS;05/05/1989;01/01/2007;0;22;0;0;22;0;0;0;0;0;0
116BL;BOUDON 12 LA FONTAINE 55;01;55 rue  Jean de La Fontaine;75016;PARIS;05/05/1989;01/01/2007;1;9;9;0;0;0;966;907;907;1 081;0
116BL;BOUDON 12 LA FONTAINE 55;02;12 avenue  Boudon;75016;PARIS;05/05/1989;01/01/2007;1;13;13;0;0;0;863;830;830;919;0
116BO;BOULAINVILLIERS-LAFONTAI;PKC1;9TER rue de Boulainvilliers;75016;PARIS;01/01/1988;01/04/2022;0;80;0;0;80;0;0;0;0;1 079;0
116BO;BOULAINVILLIERS-LAFONTAI;A;1 place du Docteur Hayem;75016;PARIS;01/01/1988;01/01/1940;2;32;32;0;0;0;0;2 118;2 118;2 240;0
116BO;BOULAINVILLIERS-LAFONTAI;ADMI;9/15 rue de Boulainvilliers;75016;PARIS;01/01/1988;01/01/1940;0;0;0;0;0;0;0;0;0;0;0
116BO;BOULAINVILLIERS-LAFONTAI;BD;1 rue  Jean de La Fontaine;75016;PARIS;01/01/1988;01/01/1940;6;68;65;0;0;2;0;4 119;4 119;4 882;0
116BO;BOULAINVILLIERS-LAFONTAI;01;7BIS rue de Boulainvilliers;75016;PARIS;01/01/1988;01/01/1940;9;75;69;0;0;6;0;4 613;4 613;6 209;0
116BO;BOULAINVILLIERS-LAFONTAI;PKC2;15 rue de Boulainvilliers;75016;PARIS;01/01/1988;15/04/1992;0;72;0;0;72;0;0;0;0;2 478;0
116CL;CHARDON LAGACHE 55/57;01;55 rue  Chardon-Lagache;75016;PARIS;30/04/2014;30/04/2014;1;0;0;0;0;0;0;0;0;0;0
116CL;CHARDON LAGACHE 55/57;02;55 rue  Chardon-Lagache;75016;PARIS;30/04/2014;30/04/2014;1;0;0;0;0;0;0;0;0;0;0
116DA;DAUMIER14;01;14 rue  Daumier;75016;PARIS;01/01/1964;01/08/2009;5;38;20;0;17;0;1 086;1 043;1 043;1 339;1 043
116DE;DELESTRAINT 48;01;48 rue  Général Delestraint;75016;PARIS;01/01/1925;01/09/2006;2;27;25;0;0;0;2 313;2 165;2 165;2 406;2 189
116DL;DURET-LE SUEUR;01;25 rue  Le Sueur;75016;PARIS;;14/11/2003;8;40;33;0;0;6;1 723;1 694;1 694;2 292;37
116DU;DUBAN 16;01;16 rue  Duban;75016;PARIS;;21/06/2016;4;12;10;0;0;2;626;612;612;781;0
116FA;MARECHAL FAYOLLE 45/47;01;45/47 rue du Maréchal Fayolle;75016;PARIS;01/01/1970;01/06/2007;0;0;0;0;0;0;0;0;0;0;0
116FA;MARECHAL FAYOLLE 45/47;02;47 rue du Maréchal Fayolle;75016;PARIS;01/01/1970;01/04/2007;0;0;0;0;0;0;0;0;0;0;0
116FC;FAYOLLE CHANTEMESSE;01;45 avenue du Maréchal Fayolle;75016;PARIS;26/07/2018;30/11/2018;2;32;32;0;0;0;2 014;2 014;2 014;2 014;2 014
116FC;FAYOLLE CHANTEMESSE;03;49 avenue du Maréchal Fayolle;75016;PARIS;26/07/2018;30/11/2018;2;29;28;0;0;0;1 937;1 937;1 937;1 952;1 937
116FC;FAYOLLE CHANTEMESSE;02;47 avenue du Maréchal Fayolle;75016;PARIS;26/07/2018;30/11/2018;1;12;12;0;0;0;668;668;668;668;668
116FC;FAYOLLE CHANTEMESSE;04;6 avenue  Chantemesse;75016;PARIS;26/07/2018;30/11/2018;2;28;28;0;0;0;1 958;1 958;1 958;1 958;1 958
116FC;FAYOLLE CHANTEMESSE;PKC1;6 avenue  Chantemesse;75016;PARIS;26/07/2018;01/04/2021;0;78;0;0;77;0;0;0;0;910;0
116FD;FELICIEN DAVID 14;01;14 rue  Félicien David;75016;PARIS;01/03/1959;01/03/1959;2;55;53;0;0;0;0;2 781;2 781;2 908;2 781
116FD;FELICIEN DAVID 14;PKC1;14 rue  Félicien David;75016;PARIS;01/03/1959;01/03/1959;0;14;0;0;14;0;0;0;0;216;0
116GB;GROS-BOULAINVILLIERS-PRE;PKC1;12 rue  Gros;75016;PARIS;22/07/1995;22/07/1995;0;55;0;0;55;0;0;0;0;696;0
116GB;GROS-BOULAINVILLIERS-PRE;01;10 rue  Gros;75016;PARIS;22/07/1995;22/07/1995;5;63;60;0;0;1;4 417;4 317;4 317;5 268;4 321
116LU;LUBECK 24;03;24 rue de Lübeck;75016;PARIS;01/05/2008;15/04/2004;1;2;2;0;0;0;108;104;104;113;47
116LU;LUBECK 24;01;24 rue de Lübeck;75016;PARIS;;15/04/2004;2;25;23;0;0;2;1 075;1 025;1 025;1 204;42
116LU;LUBECK 24;PKC1;24 rue de Lübeck;75016;PARIS;;15/04/2004;0;1;0;0;0;1;0;0;0;17;0
116LU;LUBECK 24;02;24 rue de Lübeck;75016;PARIS;;15/04/2004;1;19;19;0;0;0;741;706;706;775;0
116ME;MESNIL12;01;12 rue  Mesnil;75016;PARIS;01/01/1960;30/03/2016;2;46;27;0;18;0;2 471;2 394;2 394;2 825;2 394
