HP2;Chaufferie multi HP;Nom Groupe;Nombre de logements;Date de construction;Adresse;Adresse (suite);Code Postal;Ville;Type combustible;Code site;Site;Type d'équipement;Equipement;Commentaire;Marque;Modèle;Puissance;Sous-station chauffage (numéro équipement);Présence Cogénération;Date de mise en service / Date de rénovation;Sonde extérieure avec régulation;Panneaux solaire photovoltaique;Thermique;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération
114MC;;PORTE MONTROUGE ILOT C;198;01/01/1933;Brune (boulevard ) n° 110/114;;75014;PARIS;Gaz;CHF0000032;112 BD BRUNE;CHAUDIERE;CHAUDIèRE GAZ;X 2;DE DIETRICH;CHAUDIèRE GAZ C 610 ECO 860;860 KW;;;01/01/2006;OUI;;;;;;;;
114PC;;PORTE DE CHATILLON 8/12;197;01/06/1950;Porte de Châtillon (avenue de la ) n° 8/12;;75014;PARIS;Gaz;CHF0000335;8 AV DE LA PORTE DE CHATILLON - ESC 13 (JARDIN D'ENFANTS);CHAUDIERE;CHAUDIèRE GAZ;X 2;DE DIETRICH;CHAUDIèRE GAZ ECO NOX DTG 120-10 S;54 KW;;;01/01/2001;OUI;;;;;;;;
114PL;;PLAISANCE 13/15;14;31/05/2012;Plaisance (rue de ) n° 13/15;;75014;PARIS;Gaz;CHF0000690;13/15 RUE DE PLAISANCE;CHAUDIERE;CHAUDIERE DE DIETRICH C 230-210;x1;DE DIETRICH;DE DIETRICH C 230-210;217;;;01/01/2012;OUI;;;;;;;;
114SA;;SARRETTE-CORENTIN-PRISSE;143;01/06/1957;41 Sarrette 48 Père Corentin;;75014;PARIS;Gaz;CHF0000245;41 RUE SARRETTE;CHAUDIERE;CHAUDIèRE GAZ 1;X 1;RIELLO TAU;CHAUDIèRE GAZ RIELLO TAU 450 N;450 KW;;;01/01/2018;OUI;;;;;;;;
114SA;;SARRETTE-CORENTIN-PRISSE;143;01/06/1957;41 Sarrette 48 Père Corentin;;75014;PARIS;Gaz;CHF0000245;41 RUE SARRETTE;CHAUDIERE;CHAUDIèRE GAZ 2;X 1;RIELLO;CHAUDIèRE GAZ TAU 600 N;600 KW;;;01/01/2012;OUI;;;;;;;;
114SR;;SERE DE RIVIERES 1/5;366;01/01/1933;Général Séré de Rivières (rue du ) n° 2/4 1/5;;75014;PARIS;Gaz;CHF0000122;2 RUE DU GéNéRAL SéRé DE RIVIèRES - ESC 12;CHAUDIERE;CHAUDIèRE GAZ;X 2;GUILLOT;CHAUDIèRE GAZ MODULO CONTROL M450;450 KW;;;15/06/2014;OUI;;OUI;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;28/06/2022;2 RUE SERE DE RIVIERES;;;
114SR;;SERE DE RIVIERES 1/5;366;01/01/1933;Général Séré de Rivières (rue du ) n° 2/4 1/5;;75014;PARIS;Gaz;CHF0000190;3 RUE DU GéNéRAL SéRé DE RIVIèRES;CHAUDIERE;CHAUDIèRE GAZ;X 2;DE DIETRICH;CHAUDIèRE GAZ C310-280 ECO;280 KW;;;01/01/2009;OUI;;OUI;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;28/06/2022;2 RUE SERE DE RIVIERES;;;
114SR;;SERE DE RIVIERES 1/5;365;01/01/1933;1/5 Gal Séré de Rivière 1 Lt Lap;46/54 Brune 10/14 G Lafenestre;75014;PARIS;Gaz;CHF0000260;5 RUE DU GéNéRAL SéRé DE RIVIèRES;CHAUDIERE;CHAUDIèRE GAZ;X 1;DE DIETRICH;CHAUDIèRE GAZ GT 530-10;580 KW;;;01/01/2008;OUI;;OUI;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;28/06/2022;2 RUE SERE DE RIVIERES;;;
114SR;;SERE DE RIVIERES 1/5;365;01/01/1933;1/5 Gal Séré de Rivière 1 Lt Lap;46/54 Brune 10/14 G Lafenestre;75014;PARIS;Gaz;CHF0000260;5 RUE DU GéNéRAL SéRé DE RIVIèRES;CHAUDIERE;CHAUDIèRE GAZ;X 1;DE DIETRICH;CHAUDIèRE GAZ GT 430-8;310 KW;;;01/01/2007;OUI;;OUI;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;28/06/2022;2 RUE SERE DE RIVIERES;;;
114V1;;VERCINGETORIX 119;71;01/06/1980;119 Vercingétorix;;75014;PARIS;CPCU;CHF0000037;119 RUE VERCINGéTORIX;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;ARMATUREN;ARI-ENCOsys;300 kW;;;01/01/2020;OUI;;;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;13/01/2021;119 rue Vercengetorix;;;
114V3;;VERCINGETORIX 143-ALESIA;144;01/04/1977;143 Vercingétorix 192/196 Alésia;;75014;PARIS;CPCU;CHF0000458;194 RUE D'ALéSIA;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;COLLARD & TROLART;ECHANGEUR CPCU HT 200/62;790 KW;;;01/01/2009;OUI;;;;;;;;
114V5;;MOULIN DE LA VIERGE 25;156;01/06/1976;25 Moulin de la Vierge;;75014;PARIS;Gaz;CHF0000166;25 RUE DU MOULIN DE LA VIERGE;CHAUDIERE;CHAUDIèRE GAZ à CONDENSATION;X 2;DE DIETRICH;CHAUDIèRE GAZ à CONDENSATION C310-430 ECO;395 KW;;;01/01/2011;OUI;;;;;;;;
114VA;;VERCINGETORIX-ALESIA-RID;165;01/01/1939;147/161 Vercingétorix;233/237 Alésia 14 Ridder;75014;PARIS;Gaz;CHF0000091;157 RUE VERCINGETORIX;CHAUDIERE;CHAUDIèRE GAZ 1;X 1;HOVAL;ULTRAGAS 720;720 KW;;;01/01/2017;OUI;;;"Chaudière à haute performance énergétique
Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire ";08/03/2017;157 RUE DE VERCONGETORIX;;;
114VA;;VERCINGETORIX-ALESIA-RID;165;01/01/1939;147/161 Vercingétorix;233/237 Alésia 14 Ridder;75014;PARIS;Gaz;CHF0000091;157 RUE VERCINGETORIX;CHAUDIERE;CHAUDIèRE GAZ 2;X 1;HOVAL;ULTRAGAS 720;720 KW;;;01/01/2017;OUI;;;"Chaudière à haute performance énergétique
Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire ";08/03/2017;157 RUE DE VERCONGETORIX;;;
115AG;;ANDRE GIDE 21 GEORGES DU;55;02/06/2005;André Gide (rue ) n° 21;;75015;PARIS;CPCU;CHF0000523;21 RUE ANDRé GIDE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;COLLARD ET TROLLARD;ECHANGEUR CPCU MICROVAP3;319;;;01/01/2004;OUI;;;;;;;;
115AR;;AMIRAL ROUSSIN 23-CROIX;356;01/12/1973;21/27 Amiral Roussin;18/28 Croix Nivert;75015;PARIS;CPCU;CHF0000140;21/23 RUE DE L'AMIRAL ROUSSIN;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1 HELICOTHERM HT 200/62;650;EQP1025332;;01/01/2019;OUI;;;Réhabilitation d'un poste de livraison de chaleur;16/11/2018;2123 rue de l'Amiral Roussin;;;
115AR;;AMIRAL ROUSSIN 23-CROIX;356;01/12/1973;21/27 Amiral Roussin;18/28 Croix Nivert;75015;PARIS;CPCU;CHF0000140;21/23 RUE DE L'AMIRAL ROUSSIN;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2 HELICOTHERM HT 200/62;650;EQP1025332;;01/01/2019;OUI;;;Réhabilitation d'un poste de livraison de chaleur;16/11/2018;2123 rue de l'Amiral Roussin;;;
115AR;;AMIRAL ROUSSIN 23-CROIX;356;01/12/1973;21/27 Amiral Roussin;18/28 Croix Nivert;75015;PARIS;CPCU;CHF0000140;21/23 RUE DE L'AMIRAL ROUSSIN;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°3;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°3 HELICOTHERM HT 200/62;650;EQP1025332;;01/01/2019;OUI;;;Réhabilitation d'un poste de livraison de chaleur;16/11/2018;2123 rue de l'Amiral Roussin;;;
115AR;;AMIRAL ROUSSIN 23-CROIX;356;01/12/1973;21/27 Amiral Roussin;18/28 Croix Nivert;75015;PARIS;CPCU;CHF0000140;21/23 RUE DE L'AMIRAL ROUSSIN;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR ECS;X 1;ATLANTIC GUILLOT;ECHANGEUR ECS RUBIS I2240 D;700 kW;EQP1025332;;07/01/2004;OUI;;;Réhabilitation d'un poste de livraison de chaleur;16/11/2018;2123 rue de l'Amiral Roussin;;;
115AR;;AMIRAL ROUSSIN 23-CROIX;356;01/12/1973;21/27 Amiral Roussin;18/28 Croix Nivert;75015;PARIS;CPCU;CHF0000140;21/23 RUE DE L'AMIRAL ROUSSIN;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR DE BOUCLAGE ECS;X 1;ATLANTIC GUILLOT;ECHANGEUR DE BOUCLAGE ECS RUBIS 2228I;570 kW;EQP1025332;;07/01/2004;OUI;;;Réhabilitation d'un poste de livraison de chaleur;16/11/2018;2123 rue de l'Amiral Roussin;;;
115B3;115Q2 115QU 115F3;PAUL BARRUEL 36/38;31;01/02/1956;36/38 rue Paul Barruel;;75015;PARIS;CPCU;CHF0000222;38 RUE PAUL BARRUEL;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;COLLARD & TROLART;ECHANGEUR CPCU;600;;;01/01/2016;OUI;;;;;;;;
115B4;115BM;BARGUE 39/43-MATHURIN RE;76;01/05/1978;39/43 Bargue;54/58 Mathurin Régnier;75015;PARIS;CPCU;CHF0000250;47 RUE BARGUE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 3;ARI ARMATUREN;ECHANGEUR DE CHALEUR VAPEUR/EAU HT 200/62 C;600 KW;EQP1025195;;01/01/2016;OUI;;;;;;;;
115BN;;BRANCION115;12;18/12/2017;Brancion (rue ) n° 115;;75015;PARIS;Gaz;CHF0000772;115 RUE BRANCION;CHAUDIERE;CHAUDIERE N°1;X 1;GUILLOT;CHAUDIERE N°1 PULSATOIRE 20 AUER;20 kW;;;15/06/2017;OUI;;;;;;;;
115BN;;BRANCION115;12;18/12/2017;Brancion (rue ) n° 115;;75015;PARIS;Gaz;CHF0000772;115 RUE BRANCION;CHAUDIERE;CHAUDIERE N°2;X 1;GUILLOT;CHAUDIERE N°2 PULSATOIRE 20 AUER;20 kW;;;15/06/2017;OUI;;;;;;;;
115BN;;BRANCION115;12;18/12/2017;Brancion (rue ) n° 115;;75015;PARIS;Gaz;CHF0000772;115 RUE BRANCION;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR ECS;X 1;CHAROT;ECHANGEUR ECS 16815;138 kW;;;PAS DE DONNEES;OUI;;;;;;;;
115BV;;VICTOR17;17;01/01/1913;Victor (boulevard ) n° 17;;75015;PARIS;Gaz;CHF0000775;17 BOULEVARD VICTOR;CHAUDIERE;CHAUDIERE;X 1;ATLANTIC;CHAUDIERE YGNIS CONDENSINOX;97 kW;;;06/06/2013;OUI;;;;;;;;
115C3;;CONVENTION 103;58;01/10/1972;103 rue de la Convention;;75015;PARIS;CPCU;CHF0000020;101 RUE DE LA CONVENTION;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1 HT 125/40;500;;;01/01/2018;OUI;;;;;101 rue de la convention;;;
115C3;;CONVENTION 103;58;01/10/1972;103 rue de la Convention;;75015;PARIS;CPCU;CHF0000020;101 RUE DE LA CONVENTION;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2 HT 125/40;500;;;01/01/2018;OUI;;;;;101 rue de la convention;;;
115C4;115CC;CONVENTION 124;28;01/08/1970;122/124 Convention;;75015;PARIS;Gaz;CHF0000043;124 RUE DE LA CONVENTION - A;CHAUDIERE;CHAUDIèRE 1;X 1;SECCACIER;CHAUDIèRE 1;800 kW;;;03/01/2000;OUI;;;;;;;;
115C4;115CC;CONVENTION 124;28;01/08/1970;122/124 Convention;;75015;PARIS;Gaz;CHF0000043;124 RUE DE LA CONVENTION - A;CHAUDIERE;CHAUDIèRE 2;X 1;SECCACIER;CHAUDIèRE 2;800 kW;;;03/01/2000;OUI;;;;;;;;
115CA;;CASTAGNARY102-108;60;01/06/2016;Castagnary (rue ) n° 102/108;;75015;PARIS;CPCU;CHF0000754;102-108 RUE CASTAGNARY;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR;X 2;BAELZ;BAELZ 106-27-54 FN;350;EQP1045494;;01/01/2018;OUI;;;;;;;;
115CJ;;CONVENTION-JAVEL-OSCAR R;285;01/08/1959;Convention (rue de la ) n° 99/101;;75015;PARIS;CPCU;CHF0000784;134 RUE DE JAVEL;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1 HT 200/62;630;;;01/01/2018;OUI;;;Réhabilitation d'un poste de livraison de chaleur;22/10/2019;101 rue de la convention;;;
115CJ;;CONVENTION-JAVEL-OSCAR R;285;01/08/1959;Convention (rue de la ) n° 99/101;;75015;PARIS;CPCU;CHF0000784;134 RUE DE JAVEL;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2;X 1;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2 HT 200/62;630;;;01/01/2018;OUI;;;Réhabilitation d'un poste de livraison de chaleur;22/10/2019;101 rue de la convention;;;
115CT;;CRONSTADT20/26;66;01/01/1967;20/26 rue de Cronstadt;;75015;PARIS;CPCU;CHF0000664;20/26 RUE DE CRONSTADT;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;BAELZ;ECHANGEUR CPCU 106-27-47-FN TURBO;700 KW;;;01/01/2006;OUI;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;02/11/2016;20/26 RUE DE CRONSTADT;;;
115CY;;CASTAGNARY 61/77;0;01/01/1931;61/77 rue Castagnary;;75015;PARIS;Gaz;CHF0000801;63 rue Castagnary;CHAUDIERE;CHAUDIERES;X 4;GUILLOT;CHAUDIERES VARMAX;120 kW;;;15/06/2021;OUI;;;;;;;;
115CY;;CASTAGNARY 61/77;0;01/01/1931;61/77 rue Castagnary;;75015;PARIS;Gaz;CHF0000801;63 rue Castagnary;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR DE CHALEUR EAU/EAU ECS (APPOINT);X 1;ATLANTIC GUILLOT;ECHANGEUR DE CHALEUR EAU/EAU ECS (APPOINT) RUBIS SI 624;191 kW;;;PAS DE DONNEES;OUI;;;;;;;;
115DF;;DURANTON-FAURE-LOURMEL-T;48;01/12/1954;66 Félix Faure 141 Lourmel;;75015;PARIS;CPCU;CHF0000076;141 RUE DE LOURMEL;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N°1;X 1;ARMATUREN;ECHANGEUR CPCU N°1 ARI ENCOSYS FR2;250 KW;;;01/01/2018;OUI;;;Réhabilitation d'un poste de livraison de chaleur;25/05/2018;141 rue de Lourmel;;;
115DF;;DURANTON-FAURE-LOURMEL-T;48;01/12/1954;66 Félix Faure 141 Lourmel;;75015;PARIS;CPCU;CHF0000076;141 RUE DE LOURMEL;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N°2;X 1;ARMATUREN;ECHANGEUR CPCU N°2 ARI ENCOSYS FR2;250 KW;;;01/01/2018;OUI;;;Réhabilitation d'un poste de livraison de chaleur;25/05/2018;141 rue de Lourmel;;;
115DS;;DESNOUETTES 45;43;01/01/1955;45 rue Desnouettes;;75015;PARIS;Gaz;CHF0000622;45 RUE DESNOUETTES;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE GT 309;210/280 KW;;;06/06/2005;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;31/08/2022;45 RUE DESNOUETTES;;;
115DS;;DESNOUETTES 45;43;01/01/1955;45 rue Desnouettes;;75015;PARIS;Gaz;CHF0000622;45 RUE DESNOUETTES;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE GT 309;210/280 KW;;;06/06/2005;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;31/08/2022;45 RUE DESNOUETTES;;;
115EM;;EMERIAU 36-THEATRE-BRAZZ;180;01/06/1973;32/38 Emeriau 14 Brazzaville;;75015;PARIS;CPCU;CHF0000459;36 RUE EMERIAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 2;X 1;COLLARD-TROLART;ECHANGEUR CPCU N° 2 HT 200/62;954;;;01/01/2014;OUI;;;REHABILITATION ET PLAN CLIMAT;15/12/2016;;;;
115EM;;EMERIAU 36-THEATRE-BRAZZ;180;01/06/1973;32/38 Emeriau 14 Brazzaville;;75015;PARIS;CPCU;CHF0000459;36 RUE EMERIAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 3;X 1;BAELZ;ECHANGEUR CPCU N° 3 106-42-45-FN;650;;;01/01/2006;OUI;;;REHABILITATION ET PLAN CLIMAT;15/12/2016;;;;
115EM;;EMERIAU 36-THEATRE-BRAZZ;180;01/06/1973;32/38 Emeriau 14 Brazzaville;;75015;PARIS;CPCU;CHF0000459;36 RUE EMERIAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 1;X 1;COLLARD-TROLART;ECHANGEUR CPCU N° 1 HT 200/62;954;;;01/01/2014;OUI;;;REHABILITATION ET PLAN CLIMAT;15/12/2016;;;;
115FA;;FALGUIERE 127/133;286;01/12/1977;127/133 Falguière;;75015;PARIS;CPCU;CHF0000044;127 RUE FALGUIèRE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR N° 1;X 1;ARI;ARI CORSYS FR 1-2;650;;;07/01/2004;OUI;;;Réhabilitation d'un poste de livraison de chaleur;23/11/2017;127 rue Falguière;Isolation des toitures terrasses. Mise en place en toiture terrasse d’un doublage extérieur isolant;02/07/2021;127133 rue Falguiere
115FA;;FALGUIERE 127/133;286;01/12/1977;127/133 Falguière;;75015;PARIS;CPCU;CHF0000044;127 RUE FALGUIèRE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR N° 2;X 1;ARI;ARI CORSYS FR 1-2;650 KW;;;01/01/2020;OUI;;;Réhabilitation d'un poste de livraison de chaleur;23/11/2017;127 rue Falguière;Isolation des toitures terrasses. Mise en place en toiture terrasse d’un doublage extérieur isolant;02/07/2021;127133 rue Falguiere
115FA;;FALGUIERE 127/133;286;01/12/1977;127/133 Falguière;;75015;PARIS;CPCU;CHF0000044;127 RUE FALGUIèRE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR N° 3;X 1;COLLARD & TROLART;ECHANGEUR N° 3 EVN 250/16;1138 KW;;;01/01/2004;OUI;;;Réhabilitation d'un poste de livraison de chaleur;23/11/2017;127 rue Falguière;Isolation des toitures terrasses. Mise en place en toiture terrasse d’un doublage extérieur isolant;02/07/2021;127133 rue Falguiere
115FB;;FALGUIERE 136/144-BARGUE;133;01/04/1959;136/144 Falguière 62/68 Bargue;;75015;PARIS;CPCU;CHF0000457;136 RUE FALGUIèRE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;ARI-ARMATUREN;ECHANGEUR CPCU;600;;;01/01/2017;OUI;;;Réhabilitation d'un poste de livraison de chaleur;14/10/2016;136 RUE FALGUIERE;;;
115FC;115FV;FRERES VOISIN-COL.P.AVIA;625;01/06/1975;4/34 allée Frères Voisin;32/38 Colonel Pierre Avia;75015;PARIS;CPCU;CHF0000046;13 BD DES FRèRES VOISIN - 36 ALLéE DES FRèRES VOISIN;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 3;COLLARD & TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU HELICOTHERM HT 200/88;1700 KW;EQP1025153;;01/01/2015;OUI;;;"Réhabilitation d'un poste de livraison de chaleur
Réhabilitation d'un poste de livraison de chaleur";"07/11/2014
24/09/2015";"36 rue du Colonel Pierre Avia
13 allée des Frères Voisins";;;
115FC;115FV;FRERES VOISIN-COL.P.AVIA;587;01/06/1975;Frères Voisin (boulevard des ) n° 17;;75015;PARIS;CPCU;CHF0000217;36 RUE DU COLONEL PIERRE AVIA;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 2;COLLARD ET TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU HELICOTHERM HT 200/62;800 KW;EQP1025157;;01/01/2014;OUI;;;"Réhabilitation d'un poste de livraison de chaleur
Réhabilitation d'un poste de livraison de chaleur";"07/11/2014
24/09/2015";"36 rue du Colonel Pierre Avia
13 allée des Frères Voisins";;;
115FF;;FELIX FAURE 132/138-MODI;108;01/12/1981;132/138 Félix Faure;6/16 Modigliani;75015;PARIS;Gaz;CHF0000056;132 AV FéLIX FAURE;CHAUDIERE;CHAUDIERE N°1;X 1;VIESSMANN;CHAUDIERE N°1 VITOCROSSAL 200 CM2C;311 kW;EQP1025202;;15/06/2020;OUI;;;Chaudière collective haute performance énergétique avec contrat assurant la conduite de l’installation;13/11/2020;132 rue Felix Faure;PLAN CLIMAT;15/07/2024;
115FF;;FELIX FAURE 132/138-MODI;108;01/12/1981;132/138 Félix Faure;6/16 Modigliani;75015;PARIS;Gaz;CHF0000056;132 AV FéLIX FAURE;CHAUDIERE;CHAUDIERE N°2;X 1;VIESSMANN;CHAUDIERE N°2 VITOCROSSAL 200 CM2C;311 kW;EQP1025202;;06/06/2020;OUI;;;Chaudière collective haute performance énergétique avec contrat assurant la conduite de l’installation;13/11/2020;132 rue Felix Faure;PLAN CLIMAT;15/07/2024;
115FF;;FELIX FAURE 132/138-MODI;108;01/12/1981;132/138 Félix Faure;6/16 Modigliani;75015;PARIS;Gaz;CHF0000056;132 AV FéLIX FAURE;CHAUDIERE;CHAUDIERE N°3;X 1;VIESSMANN;CHAUDIERE N°3 VITOCROSSAL 200 CM2C;311 kW;EQP1025202;;06/06/2020;OUI;;;Chaudière collective haute performance énergétique avec contrat assurant la conduite de l’installation;13/11/2020;132 rue Felix Faure;PLAN CLIMAT;15/07/2024;
115FG;;FALGUIERE37/39bis;23;01/02/2017;Falguière (rue ) n° 37/39 BIS;;75015;PARIS;Gaz;CHF0000759;35/37 RUE FALGUIèRE;CHAUDIERE;CHAUDIERE N°1;X 1;ATLANTIC GUILLOT;CHAUDIERE N°1 VARMAX;120 kW;;;06/06/2016;OUI;;;;;;;;
115FG;;FALGUIERE37/39bis;23;01/02/2017;Falguière (rue ) n° 37/39 BIS;;75015;PARIS;Gaz;CHF0000759;35/37 RUE FALGUIèRE;CHAUDIERE;CHAUDIERE N°2;X 1;ATLANTIC GUILLOT;CHAUDIERE N°2 VARMAX;120 kW;;;06/06/2016;OUI;;;;;;;;
115FI;;DOCTEUR FINLAY  19/23;181;01/09/1966;19/23 rue du Docteur Finlay;;75015;PARIS;CPCU;CHF0000505;19/23 RUE DU DOCTEUR FINLAY;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU n°1;X 1;COLLARD et TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU n°1 HELICOTHERM HT 125/40;480 kW;;;01/01/2020;OUI;;;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;13/01/2021;1923 rue du docteur Finlay;;;
115FI;;DOCTEUR FINLAY  19/23;181;01/09/1966;19/23 rue du Docteur Finlay;;75015;PARIS;CPCU;CHF0000505;19/23 RUE DU DOCTEUR FINLAY;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU n°2;X 1;COLLARD et TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU n°2 HELICOTHERM HT 125/40;480 kW;;;01/01/2020;OUI;;;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;13/01/2021;1923 rue du docteur Finlay;;;
115FM;;FELIX FAURE 5/9-FRERE;50;01/10/1957;5/9 avenue Félix Faure;;75015;PARIS;Gaz;CHF0000319;7 AV FéLIX FAURE;CHAUDIERE;CHAUDIERE N° 2;X 1;VIESSMANN;CHAUDIERE N° 2 Vitocrossal CI 280;280 kW;;;15/06/2018;OUI;;;;;;;;
115FM;;FELIX FAURE 5/9-FRERE;50;01/10/1957;5/9 avenue Félix Faure;;75015;PARIS;Gaz;CHF0000319;7 AV FéLIX FAURE;CHAUDIERE;CHAUDIERE N° 1;X 1;VIESSMANN;CHAUDIERE N° 1 Vitocrossal CI 280;280 kW;;;15/06/2018;OUI;;;;;;;;
115FT;;FAVORITES32;33;01/01/1929;Favorites (rue des ) n° 32;;75015;PARIS;CPCU;CHF0000663;32 RUE DES FAVORITES;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR A PLAQUES BRASEES;X 1;THS;ECHANGEUR A PLAQUES BRASEES;175 KW;;;01/01/2012;OUI;;;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;06/08/2021;32 rue des Favorites;;;
115HA;;HAMEAU 16/26;178;01/01/1957;16/26 rue du Hameau;;75015;PARIS;CPCU;CHF0000537;16/26 RUE DU HAMEAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;COLLARD TROLART;ECHANGEUR CPCU HELICOTHERM HT 200/62;900 kW;;;01/01/2016;OUI;;;Réhabilitation d'un poste de livraison de chaleur;01/07/2016;16/26 RUE DU HAMEAU;;;
115JA;;JAVEL 188/196;97;01/06/1997;188/196 Javel;;75015;PARIS;CPCU;CHF0000487;JAVEL CROIX NIVERT PLI;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 1;X 1;CTD;HT125/40;450;;;01/01/2019;OUI;;;Réhabilitation d'un poste de livraison de chaleur;14/10/2019;188 rue Javel;;;
115JA;;JAVEL 188/196;97;01/06/1997;188/196 Javel;;75015;PARIS;CPCU;CHF0000487;JAVEL CROIX NIVERT PLI;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 2;X 1;CTD;HT125-40;450;;;01/01/2019;OUI;;;Réhabilitation d'un poste de livraison de chaleur;14/10/2019;188 rue Javel;;;
