HP2;Chaufferie multi HP;Nom Groupe;Nombre de logements;Date de construction;Adresse;Adresse (suite);Code Postal;Ville;Type combustible;Code site;Site;Type d'équipement;Equipement;Commentaire;Marque;Modèle;Puissance;Sous-station chauffage (numéro équipement);Présence Cogénération;Date de mise en service / Date de rénovation;Sonde extérieure avec régulation;Panneaux solaire photovoltaique;Thermique;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération
105CL;;CLOVIS 5/7;70;01/01/1932;5/7 rue Clovis;;75005;PARIS;Gaz;CHF0000321;7 RUE CLOVIS - BAT A - ESC 1;CHAUDIERE;CHAUDIERE N°1;X 1;DE DIETRICH;CHAUDIERE N°1 GT 411;394/538 kW;EQP1025282;;01/01/2001;OUI;;;Isolation des toitures terrasses;16/04/2019;5/7 rue Clovis;REHABILITATION ET PLAN CLIMAT;15/11/2017;
105CL;;CLOVIS 5/7;70;01/01/1932;5/7 rue Clovis;;75005;PARIS;Gaz;CHF0000321;7 RUE CLOVIS - BAT A - ESC 1;CHAUDIERE;CHAUDIERE N°2;X 1;VIESSMAN;CHAUDIERE N°2 VITROCAL 300;320 kW;EQP1025282;;06/06/2018;OUI;;;Isolation des toitures terrasses;16/04/2019;5/7 rue Clovis;REHABILITATION ET PLAN CLIMAT;15/11/2017;
105DA;;DAUBENTON 17/19;44;01/01/1930;Daubenton (rue ) n° 19;;75005;PARIS;Gaz;CHF0000489;19 RUE DAUBENTON;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE DTG 350-9;160;;;01/01/2002;OUI;;;Rénovation   globale d’un    bâtiment   résidentiel (France métropolitaine);01/07/2022;19 rue Daubenton;;;
105EQ;;EDOUARD QUENU 1;12;01/01/1882;Édouard Quénu (rue ) n° 1;;75005;PARIS;Gaz;CHF0000673;1 RUE EDOUARD QUENU;CHAUDIERE;CHAUDIERE;X 1;ATLANTIC GUILLOT;CHAUDIERE Condensinox;100 kW;;;06/06/2019;OUI;;;;;;;;
105GA;;GALANDE 21 ANGLAIS 2;37;01/01/1800;21 rue Galande;2 rue des Anglais;75005;PARIS;Gaz;CHF0000629;21 RUE GALANDE;CHAUDIERE;CHAUDIERE;X 2;ATLANTIC;CHAUDIERE AZURINOX;100;;;01/01/2011;OUI;;;;;;;;
105LC;;LACEPEDE 16/18;24;11/05/1963;Lacépède (rue ) n° 16/18;;75005;PARIS;CPCU;CHF0000097;16 RUE LACéPèDE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR C.P.C.U;X 2;ALFA LAVAL;ECHANGEUR C.P.C.U CETECOIL S 480 M;106;EQP1025534;;01/01/2007;OUI;;;;;;;;
105MO;;MOUFFETARD 40/42;29;01/01/1700;40/42 Mouffetard;;75005;PARIS;CPCU;CHF0000243;40/42 RUE MOUFFETARD;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;COLLARD & TROLART;ECHANGEUR CPCU MICRO VAP 3;350;EQP1025562;;01/01/2004;OUI;;;;;;;;
105MS;105D8;MTGNE STE GENEVIEVE45/47;19;01/01/1750;47 Montagne Sainte Geneviève;;75005;PARIS;CPCU;CHF0000520;45/47 RUE DE LA MONTAGNE SAINTE GENEVIèVE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;CETETHERM;ECHANGEUR CPCU ETC 150;360;;;01/01/2003;OUI;;;;;;;;
105P4;;POLIVEAU 32/40;161;01/03/1980;28/40 Poliveau;;75005;PARIS;CPCU;CHF0000242;28 RUE POLIVEAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;COLLARD & TROLLART;ECHANGEUR CPCU HT 200/62 C;800;EQP1025428;;01/01/2009;OUI;;;;;;;;
105P8;105P1;POLIVEAU 8;67;01/06/1975;8 Poliveau;;75005;PARIS;CPCU;CHF0000343;8 RUE POLIVEAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 2;COLLARD TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU MICRO VAP32;900;EQP1025498;;01/01/2004;OUI;;;;;;;;
105S8;;SAINT JACQUES 218;25;01/01/1700;218 Saint-Jacques;;75005;PARIS;Gaz;CHF0000531;218 RUE ST JACQUES;CHAUDIERE;CHAUDIERE;X 1;FRANCO BELGE;CHAUDIERE TXE;165;;;01/01/2006;OUI;;;;;;;;
106DU;;DUPIN 2/18;148;01/03/1961;2/18 Dupin 3/19 Saint Placide;50/54 Cherche Midi 49/55 Sèvres;75006;PARIS;Gaz;CHF0000072;16 RUE DUPIN - ESC I - BAT 3;CHAUDIERE;CHAUDIERE 1;X 1;CHAPPEE;CHAUDIERE 1 NXR4;440;;;01/01/2007;OUI;;;;;;;;
106DU;;DUPIN 2/18;148;01/03/1961;2/18 Dupin 3/19 Saint Placide;50/54 Cherche Midi 49/55 Sèvres;75006;PARIS;Gaz;CHF0000072;16 RUE DUPIN - ESC I - BAT 3;CHAUDIERE;CHAUDIERE 2;X 1;CHAPPEE;CHAUDIERE 2 NXR4-RA/410;380;;;01/01/2005;OUI;;;;;;;;
106DU;;DUPIN 2/18;148;01/03/1961;2/18 Dupin 3/19 Saint Placide;50/54 Cherche Midi 49/55 Sèvres;75006;PARIS;Gaz;CHF0000072;16 RUE DUPIN - ESC I - BAT 3;CHAUDIERE;CHAUDIERE 3;X 1;CHAPPEE;CHAUDIERE 3 XR4-410C;470;;;01/01/1991;OUI;;;;;;;;
106RA;;RASPAIL 141;13;01/01/1900;Raspail (boulevard ) n° 141;;75006;PARIS;Gaz;CHF0000654;141 BD RASPAIL;CHAUDIERE;CHAUDIERE;X 1;GUILLOT;CHAUDIERE OPTIMAGAZ;232;;;01/01/1998;OUI;;;Chaudière à haute performance énergétique;07/08/2019;141 Boulevard Raspail 75006 Paris;;;
107OU;;OUDINOT 4/6;66;20/02/2014;Oudinot (impasse ) n° 4/6;;75007;PARIS;CPCU;CHF0000711;4/6 IMPASSE OUDINOT;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 1;COLLARD ET TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU HT 90/22;202 KW;;;01/01/2015;OUI;;;;;;;;
107VA;;VANEAU 81TER;14;15/04/2014;Vaneau (rue ) n° 81TER;;75007;PARIS;Gaz;CHF0000712;81 TER RUE VANEAU;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE;35 KW;;;06/06/2014;OUI;;;;;;;;
108SH;;FAUBOURG ST HONORE 127;18;07/03/2013;127 rue du fbg St Honoré;;75008;PARIS;Gaz;CHF0000697;127 RUE DU FAUBOURG ST HONORé;CHAUDIERE;CHAUDIèRE GAZ;X 2;GUILLOT;CHAUDIèRE GAZ CONENSINOX;80 KW;;;01/01/2012;OUI;;;Isolation de combles ou de toitures;29/07/2013;127 rue du Faubourg St Honoré;;;
108WA;;WASHINGTON 36;96;01/01/1884;Washington (rue ) n° 36;;75008;PARIS;Gaz;CHF0000500;36 RUE DE WASHINGTON;CHAUDIERE;CHAUDIèRE GAZ;X 2;GUILLOT;CHAUDIèRE GAZ OPTIMAGAZ 291 TYPE B22;288 KW;;;01/01/2003;OUI;;;Isolation de combles ou de toitures;30/09/2019;36 rue Washington;;;
109CQ;;COQ 3;29;01/01/1880;3 Avenue du Coq;;75009;PARIS;Gaz;CHF0000753;3 AVENUE DU COQ;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE MCA 90;84 kW;;;06/06/2018;OUI;;;;;;;;
109CQ;;COQ 3;29;01/01/1880;3 Avenue du Coq;;75009;PARIS;Gaz;CHF0000753;3 AVENUE DU COQ;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR DE SEPARATION;X 1;BARRIQUAND;ECHANGEUR DE SEPARATION BSC32-665-C-P;180 kW;;;PAS DE DONNEES;OUI;;;;;;;;
109CQ;;COQ 3;29;01/01/1880;3 Avenue du Coq;;75009;PARIS;Gaz;CHF0000753;3 AVENUE DU COQ;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR A PLAQUES ECS;;GUILLOT;ECHANGEUR A PLAQUES ECS NAVY SYSTEM 2000 - RUS 218 DDHR;90;;;PAS DE DONNEES;OUI;;;;;;;;
109JO;;JOUBERT 25;11;01/01/1780;25 rue Joubert;;75009;PARIS;Gaz;CHF0000518;25 RUE JOUBERT;CHAUDIERE;CHAUDIèRE GAZ;X 1;IDEAL STANDARD;CHAUDIèRE GAZ;93 KW;;;06/06/2004;OUI;;;;;;;;
109JO;;JOUBERT 25;11;01/01/1780;25 rue Joubert;;75009;PARIS;Gaz;CHF0000518;25 RUE JOUBERT;CHAUDIERE;CHAUDIèRE GAZ;X 1;IDEAL STANDARD;CHAUDIèRE GAZ;40 KW;;;06/06/2004;OUI;;;;;;;;
109LZ;;SAINT LAZARE 85;16;30/11/2018;85 rue Saint Lazare;;75009;PARIS;Gaz;CHF0000778;85 rue Saint-Lazare;CHAUDIERE;CHAUDIERE N°1;X 1;VIESSMANN;VITOCROSSAL 300;35 KW;;;15/06/2019;OUI;;;;;;;;
109LZ;;SAINT LAZARE 85;16;30/11/2018;85 rue Saint Lazare;;75009;PARIS;Gaz;CHF0000778;85 rue Saint-Lazare;CHAUDIERE;CHAUDIERE N°2;X 1;VIESSMANN;VITOCROSSAL 300;35 KW;;;15/06/2019;OUI;;;;;;;;
109MP;;VICTOR MASSE J-B PIGALLE;142;01/01/1910;Victor Massé (rue ) n° 35/39;;75009;PARIS;Gaz;CHF0000508;54 RUE JEAN BAPTISTE PIGALLE;CHAUDIERE;CHAUDIèRE GAZ;X 2;BUDERUS;CHAUDIèRE GAZ LOGANO GE 615;570 KW;EQP1025177;;15/06/2005;OUI;;;Rénovation de la chaufferie gaz;2022;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;15/10/2022;54 rue Jean-Baptiste Pigalle
109TD;;TOURDAMES8-12;84;01/01/1899;8-12 rue de la Tour des Dames;;75009;PARIS;CPCU;CHF0000642;8 RUE DE LA TOUR DES DAMES;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR CPCU;X 2;COLLARD & TROLART;ECHANGEUR DE CHALEUR CPCU CPI 1200;325;;;01/01/2012;OUI;;;;;;;;
109VI;;VICTOIRE 19-21;16;01/01/1900;Victoire (rue de la ) n° 19/21;;75009;PARIS;Gaz;CHF0000764;19 RUE DE LA VICTOIRE;CHAUDIERE;CHAUDIERES;X 2;ATLANTIC GUILLOT;CHAUDIERES 2 VARFREE;35 kW;;;06/06/2019;OUI;;;;;;;;
110AG;;AGROUSSIER 6-10;21;01/01/1969;6/10 Rue Arthur Groussier;;75010;PARIS;Gaz;CHF0000766;6-10 RUE ARTHUR GROUSSIER;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE GT 309;280;;;01/01/2002;OUI;;;;;;;;
110BT;;BICHAT TEMPLE;90;01/06/2016;Bichat (rue ) n° 1/9;;75010;PARIS;Gaz;CHF0000752;43/45 FAUBOURG DU TEMPLE, 1/9 RUE BICHAT;CHAUDIERE;CHAUDIERE;X 2;ATLANTIC GUILLOT;CHAUDIERE VARMAX 275;275;;;01/01/2015;OUI;OUI;;Bâtiment neuf avec label de haute performance énergétique;22/04/2016;1/9 rue Bichat;;;
110BV;;LOUIS BLANC - VILLETTE;92;01/05/1956;Louis Blanc (rue ) n° 2/4;;75010;PARIS;Gaz;CHF0000363;97 BD DE LA VILLETTE;CHAUDIERE;CHAUDIERE 1;X 1;DE DIETRICH;CHAUDIERE 1 CFE 409;279;;;01/01/1989;OUI;;;Chaudière à haute performance énergétique;20/09/2019;97 Boulevard de la Villette 75010 Paris;;;
110BV;;LOUIS BLANC - VILLETTE;92;01/05/1956;Louis Blanc (rue ) n° 2/4;;75010;PARIS;Gaz;CHF0000363;97 BD DE LA VILLETTE;CHAUDIERE;CHAUDIERE 2;X 1;DE DIETRICH;CHAUDIERE 2 CFE 409;279;;;01/01/1989;OUI;;;Chaudière à haute performance énergétique;20/09/2019;97 Boulevard de la Villette 75010 Paris;;;
