DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
120C6;CASCADES 6/8-ERMITAGE 9;33;30/01/1998;"6/8 rue des Cascades 
9 Ermitage";75020;PARIS;ES;18;3;2015;;;18;;;;;;;;;3;;;;;;;;;;Chaudière individuelle haute performance énergétique;16/10/2017;6/8 RUE DES CASCADES - 9 RUE DE L'ERMITAGE;;;;
120C7;CASCADES 7/23;51;01/10/1985;7/23 rue des Cascades;75020;PARIS;ES;50;4;2014;;;;50;;;;;;;;;;;4;;Chaff- INOA EVO 24 VMC;;;;;Chaudière individuelle basse température;23/09/2014;11/13/23 rue des Cascades;;;;
120CA;CASCADES 46;9;01/12/1998;46 rue des Cascades;75020;PARIS;ES;9;2;2013;;;;9;;;;;;;;;;;2;;;;;;;;;;;;;
120CE;COURONNES-EUPATORIA;324;01/02/1970;"82/88 Couronnes
23 Eupatoria";75020;PARIS;ES;1;0;2008;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
120CI;CLOS 20/24-ORTEAUX 79/99;33;01/12/1979;20/24 Clos 79/99 Orteaux;75020;PARIS;ES;33;11;2011;;;;33;;;;;;;;;;;11;;;;;;2023;;;;;;;
120CJ;COURONNES 43-J.LACROIX;17;01/12/1985;"43 Couronnes 
34 Julien Lacroix";75020;PARIS;ES;17;0;2013;;17;;;;;;;;;;;;;;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;10/12/2021;43 rue des Couronnes 75020;;;;
120CL;CLOS 2/22-ORTEAUX 93/99;595;01/11/1978;2/22 CLOS 93/99 Orteaux;75020;PARIS;ES;280;9;2011;;;;280;;;;;;;;;;;9;;;;;;2023;"Isolation des toitures terrasses
Chaudière à condensation avec contrat d'exploitation";"18/12/2014
05/12/2014";"14/16 rue du Clos / 79/99 rue des Orteaux
16 rue du Clos";Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/12/2022;87 rue des Orteaux;
120CM;HENRI CHEVREAU 13/17;30;30/08/1998;13/17 Henri Chevreau;75020;PARIS;ES;30;1;2012;;;;30;;;;;;;;;;;1;;;;;;;;;;;;;
120CN;COURONNES 124;1;01/01/1939;124 rue des Couronnes;75020;PARIS;ES;1;0;2010;;1;;;;;;;;;;;;;;;ELM Leblanc;;;;;;;;;;;
120D5;DENOYEZ 5;5;01/01/1850;5 rue Dénoyez;75020;PARIS;ES;5;1;2015;;;5;;;;;;;;;1;;;;;;;;;;Chaudière individuelle haute performance énergétique;14/12/2015;5 rue Denoyez;;;;
120D8;DENOYEZ 18;26;15/10/2003;18 rue Dénoyez;75020;PARIS;ES;21;3;2015;;;21;;;;;;;;;3;;;;;Chaff- NIAGARA C 25 FF;;;;;;;;;;;
120DZ;DENOYEZ 11 LEMON;9;19/03/2002;11 rue Dénoyez;75020;PARIS;ES;9;1;2015;;;6;;;;3;;;;;1;;;;;chaff- INOA EVO 25 FF V2 et 3 NIAGARA C GREEN 25;;;;;Chaudière individuelle haute performance énergétique;22/12/2015;11 rue Denoyez;;;;
120EC;ERMITAGE 29/31-CASCADES;13;01/01/1850;"29/31 Ermitage
26/28 rue des Cascades";75020;PARIS;ES;13;3;2017;3 caissons en 2017;;2;10;;;1;;;;;;;;3;;Inoa 24 VMC  et 1 Mira C Green 25 EU;;;;2017;"Chaudière individuelle haute performance énergétique
Fenêtre ou porte-fenêtre complète avec vitrage isolant";"21/07/2017
15/12/2017";"23-31 RUE DE L'ERMITAGE
29-31 rue de l'Ermitage 26-28 rue des Cascades";;;;
120EV;ENVIERGES 35;16;01/01/1983;35 rue des Envierges;75020;PARIS;ES;16;2;2012;;;16;;;;;;;;;2;;;;;;;;;;;;;;;;
120JL;JULIEN LACROIX;8;31/08/2007;15/17 rue Julien Lacroix;75020;PARIS;ES;8;1;2007;;;8;;;;;;;;;1;;;;;;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;16/06/2023;15 rue Julien Lacroix;;;;
120JU;JUILLET 12/14;68;01/04/1987;12/14 Juillet;75020;PARIS;ES;68;3;2019;;;;68;;;;;;;;;;;3;;1 INOA VMC - 67 ACLES VMC BAS NOX;;;;2019;;;;;;;
120JX;JULIEN LACROIX 91;4;21/02/2006;91 rue Julien Lacroix;75020;PARIS;ES;4;1;2015;;;4;;;;;;;;;1;;;;;;;;;;Chaudière individuelle haute performance énergétique;21/05/2015;91 rue Julien Lacroix;;;;
120L1;LESAGE / RAMPONEAU;36;28/08/2005;"12/14 Lesage 
45/47/49 Ramponeau";75020;PARIS;ES;37;11;2020;;;0;;;;11;26;;;;3;;;;8;;;;;2020;;;;;;;
120L5;LESAGE 5;5;01/01/1850;5 rue Lesage;75020;PARIS;ES;5;0;2021;;;1;;;;4;;;;;;;;;;ELM LEBLANC - MEGALIS CONDENS / EGALIS CONDENS;;;;2021;;;;;;;
120LE;LESAGE 8;5;01/04/2003;8 rue Lesage;75020;PARIS;ES;5;1;2020;;;;;;;5;;;;;1;;;;;MEGALIA CONDENS-MIRA C GREEN;;;;2020;;;;;;;
120M1;MARE34/38 CASCADES 37/41;30;08/01/2003;36/38 rue de la Mare;75020;PARIS;ES;30;3;2015;;;30;;;;;;;;;3;;;;;;;;;;Chaudière individuelle haute performance énergétique;12/10/2015;36/38 rue de la Mare;;;;
120M3;MARE 34;6;01/07/1983;34 rue de la Mare;75020;PARIS;ES;6;0;2015;;6;;;;;;;;;;;;;;;chaff- INOA EVO 25 CF;;;;;;;;;;;
120M6;MENILMONTANT 61;5;01/01/1850;61 rue de Ménilmontant;75020;PARIS;ES;5;0;2013;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
120M7;MARE 70/72;5;01/05/1987;70/72 Mare;75020;PARIS;ES;5;1;2017;2017 caisson gaz;;;5;;;;;;;;;;;1;;;;;;2017;Fenêtre ou porte-fenêtre complète avec vitrage isolant;07/01/2020;7072 rue de la Mare 75020;;;;
120M8;MENILMONTANT 82;39;01/01/1830;82 rue de Ménilmontant;75020;PARIS;ES;39;0;2014;;39;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;27/10/2014;82 rue de Ménilmontant;;;;
120MC;MARE 58/60-CASCADES-SAVI;54;01/11/1985;"58/60 Mare 
73/75 Cascades";75020;PARIS;ES;11;4;2019;;;;;;;11;;;;;4;;;;;11 MEGALIS CONDENS ;;;;2019;;;;;;;
120ME;MENILMONTANT 36;30;01/01/1830;36 rue de Ménilmontant;75020;PARIS;ES;30;2;2014;;;;30;;;;;;;;;;;2;;chaff- INOA ;;;;;Chaudière individuelle basse température;11/12/2014;36 rue de Ménilmontant;;;;
120MH;MENILMONTANT 54/56;44;15/10/1998;"54/56 boulevard de Ménilmontant 
9 Houdard";75020;PARIS;ES;44;4;2012;;;44;;;;;;;;;4;;;;;;;;;;;;;;;;
120ML;MENILMONTANT 51/53;15;01/01/1850;51/53 rue de Ménilmontant;75020;PARIS;ES;15;0;2013;;15;;;;;;;;;;;;;;;de dietrich- MS 24;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;15/12/2020;51-53 rue de Menilmontant 3 bis rue Julien Lacroix;;;;
120MT;MENILMONTANT 113;1;01/01/1880;113 rue de Ménilmontant;75020;PARIS;ES;1;1;2020;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;
120P2;PYRENEES 217;5;01/11/1981;217 Pyrénées;75020;PARIS;ES;5;0;2013;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
120P5;PANOYAUX 23;16;11/06/1999;21/23 Panoyaux;75020;PARIS;ES;16;1;2017;;;;16;;;;;;;;;;;1;;"5 Niagara C 24 VMC EU (à ballon intégré); Inoa 24 VMC EU";;;;2017;;;;;;;
120P6;PANOYAUX 65/71-PLATRIERE;39;08/11/1999;65/71 Panoyaux 6 Plâtrières;75020;PARIS;ES;39;4;2012;;;39;;;;;;;;;4;;;;;;;;;;;;;;;;
120P7;PERE JULIEN D'HUIT 17/21;93;01/10/1986;17/21 Père Julien d'Huit;75020;PARIS;ES;93;3;2000 - plan climat 2018;;;;93;;;;;;;;;;;3;;;;;;;;;;;;;
120P8;PLATRIERES 8;16;01/04/2009;8 rue des plâtrières;75020;PARIS;ES;15;3;2017;;;;;;;15;;;;;3;;;;;PMC-M 24/28 MI (de DIETRICH);;;;;;;;;;;
120P9;PERE JULIEN D'HUIT 9/18;268;01/07/1986;9/21 10/18 Père Julien d'Huit;75020;PARIS;ES;268;8;2000 - plan climat 2018;;;;268;;;;;;;;;;;8;;;;;;;;;;;;;
120PK;PALI-KAO 5/15;56;03/04/1996;"7/15 Pali-Kao 
10BIS Bisson";75020;PARIS;ES;34;2;2011;;;34;;;;;;;;;2;;;;;;;;;;;;;;;;
120PT;PLATRIERES 10/12;22;14/10/2005;10/12 rue des Plâtrières;75020;PARIS;ES;22;1;2020;;;;;;;22;;;;;1;;;;;CHAFFOTEAUX NIAGARA C GREEN ULTRA 25 - MIRA C GREEN ULTRA 25;;;;2020;;;;;;;
120PX;PANOYAUX 4;4;01/01/1870;4 rue des Panoyaux;75020;PARIS;ES;4;0;2016;;;;;;;4;;;;;;;;;;3 NIAGARA C GREEN (CM) - 1 EGALIS  (ELM);;;;2016;Chaudière individuelle haute performance énergétique;11/10/2017;4 RUE DES PANOYAUX;;;;
120R5;RAMPONEAU 35/37;9;01/03/2003;35/37 rue Ramponeau;75020;PARIS;ES;9;1;2020;;;;;;;9;;;;;1;;;;;ELM LEBLANC MEGALIA CONDENS ;;;;2020;;;;;;;
120RA;RAMPONEAU 43/45;14;01/01/1870;43/45 rue Ramponeau;75020;PARIS;ES;14;1;2012;;;14;;;;;;;;;1;;;;;;;;;;;;;;;;
120RL;RIGOLES-LEVERT;13;01/01/1850;"76/78 Rigoles 
8/10 Levert";75020;PARIS;ES;13;6;2012;;;13;;;;;;;;;;6;;;;;;;;;Isolation des murs;12/04/2018;810 rue Levert et 78 rue des Rigoles;;;;
120RM;RAMPONEAU 23;20;23/05/2014;23 rue Ramponeau;75020;PARIS;ES;19;2;2014;;;19;;;;;;;;;2;;;;;;;;;;;;;;;;
120RP;RAMUS 30/38-PYRENEES 223;67;15/06/1981;"30/36 Ramus 
223 Pyrénées";75020;PARIS;ES;67;5;2012;;;4;63;;;;;;;;;;;5;;;;;;;;;;;;;
120T4;TOURTILLE 47/49;9;01/07/1997;47/49 Tourtille;75020;PARIS;ES;9;1;2011;;;9;;;;;;;;;1;;;;;;;;;;;;;;;;
120T7;TOURTILLE 31;2;01/04/2003;31 rue de Tourtille;75020;PARIS;ES;2;2;2020;;;;;;;2;;;;;;2;;;;NIAGARA C GREEN - MIRA C GREEN - ;;;;2020;;;;;;;
120T9;TOURTILLE 41;10;01/01/1850;39BIS/41 rue de Tourtille;75020;PARIS;ES;10;5;2019;;;;;;;10;;;;;5;;;;;3 NIAGARA CONDENS - 3 MIRA CONDENS - 4 INOA CONDENS ;;;;2019;Chaudière individuelle haute performance énergétique;05/04/2019;41 rue de Tourtilles 75020;;;;
120VI;VITRUVE 48;15;01/10/1985;48 rue Vitruve;75020;PARIS;ES;15;1;2015;;;;15;;;;;;;;;;;1;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;01/10/2014;48 rue Vitruve;;;;
220BJ;BOYER 3-JUILLET 4;96;01/02/1922;3/9 Boyer 4 Juillet;75020;PARIS;ES;96;3;2018;;;;95;;;1;;;;;;;;3;;"MIRA C GREEN; MEGALIA VMC ";;;;2018;;;;;;;
220OM;OLIVIER METRA 36;96;01/05/1928;36/40 rue Olivier Métra;75020;PARIS;ES;93;0;2014;;93;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;29/09/2014;36/40 rue Olivier Métra;;;;
620AN;AMANDIERS;29;06/11/1934;75 rue des Amandiers;75020;PARIS;ES;27;0;2011;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
108CH;CHAMBIGES 6 ;15;01/01/1880;6 rue Chambiges;75008;PARIS;NO;13;0;2013;;10;3;;;;;;;;;;;;;;;;;;;;;;;;;
109C2;22CONDORCET;21;21/12/2017;22 rue Condorcet;75009;PARIS;NO;6;0;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
109CL;CLICHY 29;54;01/01/1900;29 Clichy;75009;PARIS;NO;53;4;2015;;;53;;;;;;;;;3;1;;;;;;;;;;;;;;;
109CO;CONDORCET 21;18;01/01/1881;21 rue Condorcet;75009;PARIS;NO;18;0;2015;;14;2;;;;1;;;1;;;;;;;;;;;;;;;;;;
109CT;CITE TREVISE 16;7;01/01/1881;16 Cité Trévise;75009;PARIS;NO;6;0;2016;;2;1;;;3;;;;;;;;;;;"3 THEMAPLUS CONDENS
1 MEGALIS NGLA 24 1 H
1 THEMA C25 E non remplacée
1 BT ventouse non remplacée pb tech";;;;2016;Chaudière individuelle haute performance énergétique;28/11/2016;16 CITE TREVISE;;;;
109LA;ST LAZARE 43;21;01/01/1780;43 rue St Lazare;75009;PARIS;NO;10;2;2010;;;10;;;;;;;;;2;;;;;MEGALIA 4H;;;;;Fenêtre  ou  porte-fenêtre  complète  avec  vitrage isolant;23/05/2023;43 rue St Lazare;;;;
109LF;LA FAYETTE90;16;01/01/1960;90 rue de La Fayette;75009;PARIS;NO;13;0;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;
109RC;ROCHECHOUART 53;11;01/01/1860;53 bd Rochechouart;75009;PARIS;NO;11;2;2011;;;;;;11;;;;;;2;;;;;THEMAPLUS CONDENS;;;;;;;;;;;
109RT;ROCHECHOUART71;30;01/01/1890;71 rue de Rochechouart;75009;PARIS;NO;5;0;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
109TA;TOUR D'AUVERGNE 35/37;25;01/01/1840;35/37 Tour d'Auvergne;75009;PARIS;NO;25;1;2005;;;25;;;;;;;;;1;;;;;;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;27/06/2023;35-37 Tour d€™auvergne 75009 PARIS;;;;
109TU;TURGOT19;48;01/01/1900;19 rue Turgot;75009;PARIS;NO;;0;;;19;;;;;;;;3;;0;;;;;"VMC non fonctionnelle (3 caissons ?) mais incompatible avec chaudières en place
20 ballons électriques";;;;;;;;;;;
110BV;LOUIS BLANC - VILLETTE;92;01/05/1956;"2/4 Louis Blanc
97/99 Villette";75010;PARIS;NE;29;0;2014;;;;;;;;;;29;;;;;;;;;;;;Chaudière à haute performance énergétique;20/09/2019;97 Boulevard de la Villette 75010 Paris;;;;
110CE;;33;01/01/1900;16/18 Rue du Château d’eau ;75010;PARIS;NE;;;;;3;;;;;;;;3;;;;;;;28 ballons électriques;;;;;;;;;;;
110DE;DENAIN 4/6/8;50;01/01/1910;4/6/8 Bd de Denain;75010;PARIS;NE;13;3;2011;;;13;;;;;;;;;3;;;;;;;;;;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;25/11/2021;6 boulevard Denain;;;;
110EC;;10;01/01/1880;3 rue de l’échiquier ;75010;PARIS;NE;;;;;1;;;;;;;;1;;;;;;;11 ballons électriques;;;;;;;;;;;
110FM;FAUBOURG SAINT-MARTIN;30;01/01/1890;197 rue du Faubourg Saint Martin;75010;PARIS;NE;12;1;2021;;;;;;;12;;;;;1;;;;;ELM LEBLANC modèle « mégalis condens ;;;;;;;;;;;
110FS;FAUBOURG SAINT-DENIS 50;20;01/01/1780;50A Faubourg Saint Denis;75010;PARIS;NE;20;2;2017;;;2;;;;18;;;;;2;;;;;SAUNIER DUVAL - ISOTWIN CONDENS - THEMAPLUS CONDENS;;;;2017;Chaudière individuelle haute performance énergétique;27/04/2016;50 A RUE DU FAUBOURG SAINT DENIS;;;;
110FT;FAUBOURG DU TEMPLE 113;23;01/01/1800;113 Faubourg du Temple;75010;PARIS;NE;20;0;2014;;20;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;22/10/2014;113 rue du Faubourg du Temple;;;;
110JE;JEMMAPES 118            ;24;01/01/1985;118 quai de Jemmapes;75010;PARIS;NE;27;2;2014;;;;27;;;;;;;;;;;2;;;;;;;PLAN CLIMAT;15/12/2019;;;;;
110JL;LOUVEL-TESSIER;39;30/10/2001;5/7BIS rue J.Louvel-Tessier;75010;PARIS;NE;39;2;2017;2 caissons en 2017;;7;;;;32;;;;;2;;;;;SAUNIER DUVAL - THEMAFAST CONDENS F25 - ISOTWIN CONDENS F25 - THEMAF25;;;;2017;Chaudière individuelle haute performance énergétique;06/06/2016;5-7BIS RUE JACQUES LOUVEL-TESSIER;;;;
110LA;LANCRY/LEGOUVE          ;24;01/01/1780;4 Legouvé et 59 rue de Lancry;75010;PARIS;NE;24;1;2021;;;2;;;;22;;;;;1;;;;;ELM LEBLANC - MELIA I CONDENS;;;;2021;;;;;;;
110LF;LA FAYETTE 150;26;01/01/1880;150 rue La Fayette;75010;PARIS;NE;26;1;2022;;;;;;;26;;;;;1;;;;;;;;;2022;;;;;;;
110LM;BUISSON ST LOUIS - ST MAUR;32;01/07/1988;2 Buisson Saint Louis;75010;PARIS;NE;32;2;2014;;;;32;;;;;;;;;;;2;;;;;;;"Chaudière individuelle basse température

PLAN CLIMAT";"11/12/2014

15/04/2021";2 rue du Buisson Saint Louis;;;;
110MA;158 MAGENTA;12;01/01/1880;158 bd Magenta;75010;PARIS;NE;12;1;2016;;;;;;;12;;;;;1;;;;;;;;;;;;;;;;
110ML;MAGENTA99-LA FAYETTE136;32;01/01/1860;99 boulevard de Magenta;75010;PARIS;NE;34;2;2008;;;34;;;;;;;;;2;;;;;;;;;2023;;;;;;;
110PA;PARADIS 44-46;57;01/01/1890;44b-46-46b-46true de Paradis;75010;PARIS;NE;57;12;2022;;;3;;;;25;29;;;;3;;;;9;;;;;2022;;;;;;;
110PE;;16;01/01/1875;1 cour des petites écuries ;75010;PARIS;NE;;;DTNE;;5;;;;;;;;;;;;;;;9 ballons électriques;;;;;;;;;;;
110PO;FG POISSONNIERE 156;65;01/01/1859;156 Rue du Faubourg Poissonnière;75010;PARIS;NE;64;0;2008 - DCI 2021;;;;;;64;;;;;;;;;;;ACLEIS MEGALIS;;;;;;;;;;;
110PR;PARADIS 14;25;01/01/1840;14 rue du Paradis;75010;PARIS;NE;26;3;2010;;;26;;;;;;;;;3;;;;;MCX24/28;;;;;;;;;;;
110ST;STRASBOURG 37;32;15/02/2000;37 Boulevard de Strasbourg;75010;PARIS;NE;32;2;2015;;;32;;;;;;;;;2;;;;;;;;;;;;;;;;
110T3;TERRAGE 15/19  (PALULOS);6;01/01/1930;11/13 rue du Terrage;75010;PARIS;NE;6;1;2014;;;6;;;;;;;;;1;;;;;;;;;;Chaudière individuelle basse température;23/10/2014;11/13 rue du Terrage;;;;
110TB;TERRAGE-BOUTRON;26;06/08/1999;21 Terrage 14 Boutron;75010;PARIS;NE;26;3;2014;;;;26;;;;;;;;;;;3;;;;;;;Chaudière individuelle basse température;23/10/2014;21 rue du Terrage / 14 impasse Boutron;;;;
110VP;SAINT VINCENT DE PAUL;16;28/03/2014;17 RUE SAINT VINCENT DE PAUL ;75010;PARIS;NE;15;1;2013;;;;;;;15;;;;;1;;;;;MCX24/28;;;;;;;;;;;
111AL;ST ANTOINE 97 - LHOMME;38;01/01/1982;97 Faubourg Saint Antoine;75011;PARIS;NE;38;4;2011;;;;38;;;;;;;;2;;;2;;chaudières en alvéoles;;;;;;;;;;;
111CD;CDESMOULINS;28;01/01/1900;23 rue Camille Desmoulins;75011;PARIS;NE;22;0;;;22;;;;;;;;;;;;;;;;;;;2023;;;;;;;
111CV;CHEMIN VERT-REPUBLIQUE-C;156;01/04/1983;125/125BIS Chemin Vert;75011;PARIS;NE;156;18;2013;;;;156;;;;;;;;9;;;9;;;;;;;;;;;;;
111FM;FOLIE MERICOURT 4;36;01/01/1750;4 rue de la Folie Méricourt;75011;PARIS;NE;36;3;2017;3 caissons en 2017;;;36;;;;;;;;;;;3;;;;;;2017;;;;;;;
111FO;FORGE ROYALE;9;01/01/1850;27 Forge Royale;75011;PARIS;NE;9;3;2022;;;;;;;1;8;;;;1;;;0;2;;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;31/12/2022;27 rue de la Forge Royale;;;;
111JP;23 TIMBAUD;12;22/03/2022;23 rue Jean Pierre Timbaud;75011;PARIS;NE;12;;2021;;;;;;;;12;;;;;;;;3;DE DIETRICH;;;;;;;;;;;
111JT;TIMBAUD21;16;01/01/1850;21 rue Jean Pierre Timbaud;75011;PARIS;NE;9;1;2019;;;;;;;9;;;;;1;;;;;;;;;;Isolation d'un plancher;05/02/2020;21 rue Jean Pierre Timbaud;;;;
111PG;PASSAGE BONNE GRAINE;29;01/01/1850;8/10 passage de la bonne graine;75011;PARIS;NE;10;3;2021;;;;;;;2;8;;;;1;;;;2;ATLANTIC NAIA;;;;2021;;;;;;;
111TI;TITON 11;19;01/05/1984;30 rue Titon;75011;PARIS;NE;19;1;2015;;;;19;;;;;;;;;;;1;;;;;;;;;;;;;
112T1;TOUL 14/16;36;01/09/1987;14/16 rue de Toul;75012;PARIS;ES;31;1;2019;;;;31;;;;;;;;;;;1;;ZENA ECONOX MSN 24 MI VMC + NIAGARA C NOX 25 VMC FR;;;;2019;;;;;;;
117BR;BREY 21;19;01/01/1920;21 rue Brey;75017;PARIS;NO;9;0;?;;8;1;;;;;;;;;;;;;;;;;;;;;;;;;
117P7;PIERRE DEMOURS 78;22;01/01/1890;78 rue Pierre Demours;75017;PARIS;NO;19;2;2019;;;19;;;;;;;;;2;;;;;;;;;2019;Chaudière individuelle haute performance énergétique;28/02/2020;78 rue Pierre Demours;;;;
117PE;PEREIRE 150;22;01/01/1850;150 Boulevard Péreire;75017;PARIS;NO;20;2;2009;;;20;;;;;;;;;2;;;;;;;;;2023;;;;;;;
117SP;SAUSSURE 132/134-DE PISA;172;01/03/1985;132/134 Saussure;75017;PARIS;NO;173;7;2017;;;;173;;;;;;;;;;;7;;;;;OUI;2017;;;;;;;
117VI;VILLIERS 77;16;01/07/2013;77 avenue de Villiers;75017;PARIS;NO;16;1;2010;;;;;;16;;;;;;1;;;;;ACLEIS CONDENS;;;;;;;;;;;
118BN;BINET-NEY-LABORI-FOURNIE;378;01/01/1928;"118/124 Ney
1/19 Fernand Labori";75018;PARIS;NO;377;19;2013;;;42;335;;;;;;;;;;;19;;;;OUI;;;;;;;;;
118CW;CHAMPIONNET 120;18;01/01/1920;120 rue Championnet;75018;PARIS;NO;4;0;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;
118CY;CLICHY 120;15;01/01/1908;120 bd de Clichy;75018;PARIS;NO;15;0;2012;;15;;;;;;;;;;;;;;;ISOTWIN C25;;;;;;;;;;;
118FF;FLAMMARION-FOURNIERE-BIN;272;01/01/1927;"2/4 C Flammarion 
1/3 E Fournière";75018;PARIS;NO;274;15;2017;;;;272;;;2;;;;;;;;15;;270 THEMACLASSIC V25 - 2 THEMAPLUS CONDENS;;;;2017;Chaudière individuelle haute performance énergétique;24/03/2017;2-4 RUE CAMILLE FLAMMARION;Radiateur  basse  température  pour  un  chauffage central;31/03/2021;15 RUE CAMILLE FLAMMARION;
118HB;HENRI BRISSON-ARTHUR RAN;274;01/01/1930;"1/7 Henri Brisson 
156/166 Ney";75018;PARIS;NO;273;12;2015;;;3;269;;;;;;1;;;;;12;;;;;;;;;;;;;
118LJ;LEIBNIZ 16-ST-JULES;15;01/01/1986;16 Leibniz;75018;PARIS;NO;15;1;2015;;;;15;;;;;;;;;;;1;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;28/11/2017;16 rue Liebnitz4 passage St Jules;;;;
118SF;SCHNEIDER-FLAMMARION-BIN;360;01/01/1926;2/4 Frédéric Schneider;75018;PARIS;NO;356;1;2016;;69;41;;;;246;;;;;1;;;;;"272 THEMAPLUS CONDENS F25/
46 THEMAFAST C25 /
14 chaudières récentes de 2012 à 2014
";;;;2016;"Chaudière individuelle haute performance énergétique

Mise en place d’un doublage isolant (complexe ou sur ossature) sur murs par l’intérieur ou par l’extérieur.";"24/11/2017

31/03/2021";"2/4 Frederic Schneider - 3/19 Camille Flammarion - 136/138 bd Ney

15 RUE CAMILLE FLAMMARION";;;;
211CG;CRESPIN DU GAST 16;88;01/01/1932;16 rue Crespin du Gast;75011;PARIS;NE;87;3;2022;;;;72;;;15;;;;;;;;3;;;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;31/12/2022;16 rue Crespin du Gast;;;;
220MJ;MENILMONTANT 140/156-JAC;359;01/12/1925;140/156 Ménilmontant;75020;PARIS;ES;344;17;2022;;;;343;;;1;;;;;;;;17;;;;;;2022;;;;;;;
101GT;GRANDE TRUANDERIE 32;20;01/09/1938;32 rue de la Grande Truanderie;75001;PARIS;SE;6;0;2015;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
101PR;PROUVAIRES 3;16;01/01/1730;3 rue des Prouvaires;75001;PARIS;SE;16;0;2012;;16;;;;;;;;;;;;;;;;;;;;;;;;;;
101RI;RIVOLI140A;8;15/10/2013;"140A/144 rue de Rivoli
9 rue Roule";75001;PARIS;SE;8;3;2012;;;;;;;8;;;;;1;;;;2;MCX24/28;;;;;;;;;;;
101S1;SAUVAL 12;5;01/01/1700;12 rue Sauval;75001;PARIS;SE;5;0;2014;;5;;;;;;;;;;;;;;;;;;;;"Isolation de combles ou de toitures
Chaudière individuelle basse température";"08/04/2013
23/10/2014";12 rue Sauval;;;;
101S8;SAUVAL  8;13;01/01/1700;8 rue Sauval;75001;PARIS;SE;13;1;2014;;;;13;;;;;;;;;;;1;;;;;;;"Isolation de combles ou de toitures
Chaudière individuelle basse température";"08/04/2013
23/10/2014";12 rue Sauval;;;;
101SO;SAINTE OPPORTUNE 3;12;01/01/1830;3 rue Sainte Opportune;75001;PARIS;SE;2;0;2015;;1;;;;;1;;;;;;;;;;DE DIETRICH MS24 MI TN;;;;;;;;;;;
102CA;27 CAIRE;8;01/01/1870;27 rue du Caire;75002;PARIS;SE;3;0;IAO voir Sylvie Debert;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
102JE;JEUNEURS 6;22;01/01/1900;6 rue des Jeuneurs;75002;PARIS;SE;22;1;2017;;;;;;;22;;;;;1;;;;;;;;;;;;;;;;
102LB;LEOPOLD BELLAN13;21;23/10/2013;13 rue Léopol Bellan;75002;PARIS;SE;21;2;2012;;;;;;;21;;;;;2;;;;;SAUNIER DUVAL ISOSPLIT F30;;;;;;;;;;;
102PO;POISSONNIERE 25;20;01/01/1780;25 bvd poissonnière;75002;PARIS;SE;20;5;2013;;;;;;;;20;;;;2;;;;3;MCX24/28;;;;;;;;;;;
103PM;MOLIERE;37;01/01/1730;4/26 19/23 Molière;75003;PARIS;SE;37;4;2021;;;;;;22;;15;;;;;;;;4;;;;;;REHABILITATION ET PLAN CLIMAT;15/06/2021;;;;;
